name,location,description,link,price,operation,bedrooms,bathrooms,floor area (m2),land size (m2),latitude,longitude,img_url_1,coordinates_1,distance_1,ModelScores
Multinational Paranaque House and Lot for Sale 72sqm 7.980M -AJCP,"Moonwalk, Parañaque","Location: Timothy Homes, 
Multinational Village Parañaque

Pre-owned Two-Storey Single Attached


Selling Price: P7,980,000.00
Lot Area: 72 SQM
Floor Area: 85 SQM
Total Developed Area: 112 SQM

3 Bedrooms, 
3 Toilet, and Bath, 
1 Car Garage
Balcony
Kitchen Area
Dining Area
Living Area


*miscellaneous fees NOT included*",https://www.lamudi.com.ph/multinational-paranaque-house-and-lot-for-sale-72s-170637184610.html,"₱7,980,000",buy,3,,112,72,14.492371,121.008496,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An-35Tn9oBsWD0-baMtrS389zsYNQmHV5_5pSq30dcJjvyUL51V5pCaDTAmj1gfeF2FvmDkUBplVjch5-9beHrYs6vUcaqKHsSnzofUxW8r50TzxqeGIo__JfmqTZVAQNzyWJNAB-1cmDU486avjtg?stp=s2048x1152&ccb=10-5&oh=00_AfBs1e7Nu-PHFMUDCmP8azsck0z67Miv1Lgt2gFB03aXQQ&oe=660E0DFC&_nc_sid=201bca,"(121.014659, 14.492893)",0.666876442,2.91
For Sale: 1BR Sea View Condo Resort in Oak Harbor Residences 2,"Don Galo, Parañaque","For Sale: 1BR Sea View Condo Resort in Oak Harbor Residences  Oak Harbor Residences is a new project in the Bay Area by DMCI Homes Exclusive. Residents are greeted by a beautiful and welcoming facade. Inside, there are multiple amenities that are made to cater to different needs such as a Swimming Pool, Fitness Gym, Picnic Groves, and many more, while maintaining a state-of-the-art security and safety system.  Within the vicinity of Oak Harbor are other residencial and commercial projects such as Westside City, Banyan Tree Residences, Okada Manila, and Solaire Resort.  Code: DS88-002165 Category: Residential Project: Oak Harbor Residences City: Paranaque Unit Area: 72.5 SQM Parking: 1 slot (Add PHP 1,130,000) Selling Price: ₱19,980,240.00 (Gross)  - 1 Bedroom - 1 Toilet and Bath - Unfurnished - CLEAN TITLE - Viewing Schedule: Available Daily, 9am - 5pm  For Inquiries, Please Contact: Dreal M. Porte Top Realty Corporation 22nd Floor, High Street Corporate Plaza Tower 1, 26th ST. Corner 9th Ave. BGC, Taguig. Sr. Account Officer",https://www.lamudi.com.ph/for-sale-1br-sea-view-condo-resort-in-oak-harbor-r-170901149618.html,"₱19,980,240",buy,1,1,72,,14.509206,120.985714,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An9nvHlNLIs7ScYrfsZu85cXQywDAVQOf6-iq7P-Ehg6eBuKGlCLD2ma5v1qkiwo5wBPLJezr7ms5xNmS03LPSWL5Jv6n26lnJ1pr9PClT97Ll5iyEzeNNf1fizkKv8_rW2W28h20uNpKn2aBtz-vQ?stp=s2048x1536&ccb=10-5&oh=00_AfC0cV_lcx71y_4vvfPEnTRuAJ5gjMV4KA2kwWQZ7tKsaQ&oe=660E047E&_nc_sid=201bca,"(120.984797, 14.507326)",0.230301765,2.91
"For Sale: 3BR Condo Resort with Sea View in Oak Harbor Residences, Parañaque","Don Galo, Parañaque","For Sale: 3BR Condo Resort with Sea View in Oak Harbor Residences

Oak Harbor Residences is a new project in the Bay Area by DMCI Homes Exclusive. Residents are greeted by a beautiful and welcoming facade. Inside, there are multiple amenities that are made to cater to different needs such as a Swimming Pool, Fitness Gym, Picnic Groves, and many more, while maintaining a state-of-the-art security and safety system.

Within the vicinity of Oak Harbor are other residencial and commercial projects such as Westside City, Banyan Tree Residences, Okada Manila, and Solaire Resort.

Code: DS88-002170
Category: Residential
Project: Oak Harbor Residences
City: Paranaque
Unit Area: 152 SQM
Parking: 1 slot (Add PHP 1,210,000)
Selling Price: ₱30,270,240.00 (Gross)

- Corner Unit
- Sea View
- Balcony
- 3 Bedroom
- 3 Toilet and Bath
- Unfurnished
- CLEAN TITLE
- Viewing Schedule: Available Daily, 9am - 5pm

For Inquiries, Please Contact:
Dreal M. Porte
Top Realty Corporation
22nd Floor, High Street Corporate Plaza Tower 1, 26th ST. Corner 9th Ave. BGC, Taguig.
Sr. Account Officer",https://www.lamudi.com.ph/for-sale-3br-condo-resort-with-sea-view-in-oak-har-170902419946.html,"₱30,270,240",buy,3,3,152,,14.509206,120.985714,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An9nvHlNLIs7ScYrfsZu85cXQywDAVQOf6-iq7P-Ehg6eBuKGlCLD2ma5v1qkiwo5wBPLJezr7ms5xNmS03LPSWL5Jv6n26lnJ1pr9PClT97Ll5iyEzeNNf1fizkKv8_rW2W28h20uNpKn2aBtz-vQ?stp=s2048x1536&ccb=10-5&oh=00_AfC0cV_lcx71y_4vvfPEnTRuAJ5gjMV4KA2kwWQZ7tKsaQ&oe=660E047E&_nc_sid=201bca,"(120.984797, 14.507326)",0.230301765,3.77
3 Storey Townhomes Inland Subdivision Parañaque,"Merville, Parañaque","3 STOREY TOWNHOUSE FOR SALE LOCATED IN INLAND SUBD MERVILLE PQUE 

DETAILS 
UNIT D 
LOT AREA 71 SQM 
FLOOR AREA 184 SQM 
3 CAR PARKING 
4 BEDROOMS 
5 BATHROOMS 
KITCHEN WITH CABINET AND PANTRY
COZY LIVING AREA 
DINING AREA 

Please contact me for more information",https://www.lamudi.com.ph/3-storey-townhomes-inland-subdivision-para-aque-17080881104.html,"₱16,800,000",buy,4,,184,71,14.499387,121.025633,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An_BiRq8TNYusgGCMs99GN_7YzMVjMIaH9ykn3y2fftFIduHqwsr9AqwLLlDAG4UeOMacCc0ZTSirm5Lozbpy-XZvys4qfUN1NyGSo9X_Rg9Or7f_JXA3oUeAyrs4ZOqFIX-oqYRSHWzJ_1qDzHb_w?stp=s2048x1152&ccb=10-5&oh=00_AfAw66APHjqP2aNE81dw5mjghByvDG1sWD4jR_LegMW0lA&oe=660E1E46&_nc_sid=201bca,"(121.021268, 14.50365)",0.666238512,3.9
"1-Bedroom Unit with Balcony For Sale at Gold Residences, Parañaque City","Santo Niño, Parañaque","Gold Residences, the first township created by SMDC, was designed to represent the pinnacle of contemporary living. This condominium in Parañaque is located in an 11.6 hectare master-planned neighborhood where grandeur, modernity, and innovation coexist. Across Ninoy Aquino International Airport makes it easy for jetsetters to get to where they want to go. Inside, its sophisticated aesthetic, architecture, and premium amenities make it a joy to behold and live in.
You can enjoy a swim in one of the Gold Residences' leisure pools while taking in all that life has to offer. The lushly planted lounge area offers opportunities for entertainment and activity. As you make use of the Fitness Center's top-notch amenities, your mood will improve and you'll feel more energised.

- walking distance to NAIA terminal 1
- 15 minutes away to NAIA terminal 3
- 20 minutes away to okada manila, city of dreams and solaire
- 25 minutes away to mall of asia",https://www.lamudi.com.ph/1-bedroom-unit-with-balcony-for-sale-at-gold-resid-169582047276.html,"₱7,369,000",buy,1,1,27,,14.501556,121.00197,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An-T7BPvABT2EJYHDDDS-l7ApXQ42A-RFbkrb49O94thRd_AW9bPXpzFgcApETujDc1vNM2qEASjggI_nJ8ZRuduuTYo7AMq6ciJNsnt1F021v3WjX9I_Rs3-4CkP860xdvdTjq9j5Kg7PIjQUX-3A?stp=s2048x1152&ccb=10-5&oh=00_AfDm395S6XEplOymv28rAy9IFBQMCsfQ16pOOKsiyBXATg&oe=660E32FC&_nc_sid=201bca,"(120.99927, 14.503182)",0.342162085,4.17
Brand New (2) Storey Townhouse Unit for 4 Bedrooms for Sale in Parañaque City,"San Isidro, Parañaque","BRAND NEW (2) STOREY TOWN HOUSE FOR SALE IN PARAÑAQUE CITY

Price 8,800,000

Unit – D
Lot area 86.5sqm
Floor area 165sqm


HOUSE DETAILS:
4 spacious bedrooms
3 toilet and bath
Living area
Dining area
Kitchen
Granite counter top
Dirty kitchen
Service area/laundry area
1car garage

LIST OF REQUIREMENTS
Certificate of employment with compensation
2x2 Pictures
Job contract
Marriage contract
ITR (latest)
Tin number
3 months latest pay slip
Proof of billing Meralco, Maynilad etc...
SPA (Authenticated embassy of the Philippines
Marriage Contract if married
Birth Certificate if Single
Latest bank statement
Photocopy of government valid id’s (passport if abroad)

***We have other option for what you are looking for
e.g., single, duplex, townhouse, etc.
Location of other property to offer at
-Bf resort village Talon Dos Las Pinas (bfrvhai)
-Pilar village Almanza Uno Las Pinas (pvhai)
-BF Almanza Las Pinas
-BF Homes Paranaque
-Pulanglupa, Las Piñas
-Muntinlupa City
-Bacoor, Cavite

For more information and schedule for viewing,

ALFIE JOHN LAGADIA
Property Consultant
Accredited by ML Inot Realty
Prc rebl no. 4102",https://www.lamudi.com.ph/brand-new-2-storey-townhouse-unit-for-4-bedrooms-f-170547433075.html,"₱8,800,000",buy,4,,165,86,14.468547,121.011835,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An8IZTEKAg0q9bv5t0D8r1RcLpyOL5rPlepat947mhVTF5nVaSS3PolYvMmqgMpXptEmbVJ2w3UgKtuHd7qbQADnc7Z2aIE9kMqEFSAJ7dbODyypQJYYSLXtXi4tTv-IA0m7kXApSxH9_VAxol57k60?stp=s2048x1152&ccb=10-5&oh=00_AfC80KbzezVkBZpMkpNwSY3vHUqKI3K_9ypwc0ePmOSv4Q&oe=660E13E4&_nc_sid=201bca,"(121.01141, 14.467918)",0.083324127,2.88
For Sale: 3 Bedroom House and Lot in BF Homes Parañaque,"B.F. Homes, Parañaque","BRAND NEW 3-STOREY 

Property Details 
LA 204 sq m 
FA 280 sq m 
5BR | 5.5BA | 3CG 

House Features 
• modern design kitchen 
• daily kitchen 
• laundry area 
• staff’s room w/ own T&B 
• garden 
• internet & wifi ready Inclusions 
• Cistern w/ constant pressure tank 
• CCTV equipped 
• inverter refrigerator 
• built-in electric hob
• built-in oven & microwave oven 
• rangehood 
• gas hob 
• front load washing machine 
• 7 units split type aircon",https://www.lamudi.com.ph/for-sale-3-bedroom-house-and-lot-in-bf-homes-para-170162010751.html,"₱33,400,000",buy,5,,280,204,14.4521766,121.0245799,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An8MDLMrNNK-hAtAwg8iingcBuA6Q-PGAr9DO1iU3GaerZgb8xnhaoom_VaUchKTrqVAP50MsAk1zjLjteE2cQiDJgDz7HbZy87Pa1uPlk254-4qxD2qCzgq_10-gHJbkiVRjNc0FEH4sQbsIhfeZd8?stp=s2048x1536&ccb=10-5&oh=00_AfD6O_PXI4co1coPFuJIBCD6qlKlFYIs8zqY9d_3ilJfzw&oe=660E389B&_nc_sid=201bca,"(121.026287, 14.448605)",0.435936571,4.0
For Sale: Vacant Lot nr Sucat Road Parañaque & SLEX,"San Antonio, Parañaque","Lot area 1000 square meters
/ 200 meters away De Los Santos Avenue ( Sucat Road )
/ 45 minutes away to Airport
Selling price php 63,000,000
negotiable
For inquiries and for more details please call
Jesus ""Ting"" Lasala Inot
ML INOT REALTY
PRC REBL no. 0027066",https://www.lamudi.com.ph/for-sale-vacant-lot-nr-sucat-road-para-aque-slex-170184834260.html,"₱63,000,000",buy,,,,1000,14.467199,121.024909,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An8m5Xp60r-dX17pjbn1H-JQXzFnnsMNcCnCXXyovebAlYZqy0ZYKdm1u9Cr19yMeESaMbnAqhTcFgAI040ZXQdRt9iJdUV8dylQgwRgF2hcgDUvCpTVtFV6mC0qFvc39NcQN813x1eDfkNeA67w5Ag?stp=s2048x1152&ccb=10-5&oh=00_AfD30CoVlV9a4spONHvFNY5fpOG4kIU7yHWB9byocVqQEw&oe=660E3A58&_nc_sid=201bca,"(121.021121, 14.468503)",0.433128109,3.71
"Very Spacious 5,259 sq. meters Commercial Lot for Sale in Parañaque","Tambo, Parañaque","VERY SPACIOUS LOT FOR SALE IN PARAÑAQUE CITY

Lot area 5,259sqm

Price  Php 600,000,000

“Please feel free to contact us for viewing appointment of this house or lot only”

For more information and schedule for viewing,
Please call, text or pm me:

ALFIE JOHN LAGADIA
Property Consultant
Accredited by ML Inot Realty
Prc rebl no. 4102",https://www.lamudi.com.ph/very-spacious-5-259-sq-meters-commercial-lot-for-s-168121248983.html,"₱600,000,000",buy,,,,5259,14.516398,120.989915,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An--RVqG0mLmsz9a90RWbKwPRksLt0h5ttJu01dxRn9WsoBxwLY1JIONaVstVOj67NsMeUz4NII9ii99kb6UAURYqP60R0b_TEQDLJYdCloZmXJUbFqa-vr89v_P-3b_smIpANAPB5cdislL2X-jLio?stp=s2048x1152&ccb=10-5&oh=00_AfDm5zDglaZusOd6M7cEh__ILeC3h3peCGbRqqxHADDjRw&oe=660E0B16&_nc_sid=201bca,"(120.990449, 14.516511)",0.058901243,3.56
"Roxas Boulevard, Baclaran, Parañaque Commercial Building with Income for Sale","Baclaran, Parañaque","COMMERCIAL BUILDING WITH INCOME along Roxas Blvd., Baclaran, Paranaque City on Sale!!!


  EXCLUSIVE Listing
  4-storey Commercial Building along the busy street ofRoxas Boulevard, Baclaran, Paranaque City
  A regular shaped lot with a 655-sqm area (20-m frontage x 33-meter depth dimensions)
  Ground Floor leased and operated as Wet Market
  2nd Floor being leased by Paluto or Dampa Restaurants 
  3rd & 4th are shell, open canvass floors 
  The building has provision for an elevator 
  The entire Building has a good bone structure and it can be converted into a commercial-residential building, hotel, fast food restaurant, office, clinics, among others
  Situated across the City of Dreams, the Entertainment City and Mall of Asia, Pasay
  175-meters from MRT Baclaran Station, Redemptorist Baclaran Church
  750-meters from Epifanio Delos Santos Avenue (EDSA) 
  Asking Price is PhP320.0 Million, ""As is, where is"" basis",https://www.lamudi.com.ph/roxas-boulevard-baclaran-para-aque-commercial-buil-168421595551.html,"₱320,000,000",buy,,,2620,,14.529416,120.997102,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An_4k0cUN95bucNya9HLHJp4n-GozvDzv6wT7hAH8x_igE8Oi_0TBQnkpp61_lwG6ddui4iwh4mgMCF_M8sL8B80YNrqI7exwiU2goy4SGlD-EHZ58CFPJAYrDmhPp7e0VV2nNtgStcCsoZlgfZYUg?stp=s2048x1536&ccb=10-5&oh=00_AfB3OYDwJYuNhSiuBJVVe2-cIzF71IdINmAc0QCaazA5lw&oe=660E18FF&_nc_sid=201bca,"(120.997119, 14.529403)",0.002329427,2.08
Newly Built Single 2 Storey House in Better Living Parañaque City,"Don Bosco, Parañaque","Selling Price: PHP 16,800,000.00
Lot area: 120sqm
Floor area: 250sqm
House details:
Master’s Bedroom with built-in cabinets
2 Bedrooms with built in cabinet and T&B
Maid’s room with separated toilet and bath
3 toilet and bath
Living area
Dining area
Clean kitchen
Dirty kitchen
Service area/ laundry area
Balcony
Installed Maynilad Water
Installed Meralco
Complete Lighting Fixtures
Fence
2 car garage
Nearby Places:
SM BF PARANAQUE
SM HYPERMARKET
S&R SUCAT
JAKA PLAZA
PARANAQUE CITY HALL
MANILA MEMORIAL PARK AND SUCAT
GREENHEIGHTS PARK 1
-we have other option for what you are looking for
e.g. single, duplex, townhouse, etc.
Location of other property to offer at
-Bf resort village Talon Dos Las Pinas
-Pilar village Almanza Uno Las Pinas
-BF Almanza Las Pinas
-Equitable Village Las Pinas
-Talon Village Las Pinas
-Metrocor B Marcos alvarez Las Pinas
-San Antonio Las Pinas
-Katarunga Village Muntinlupa
-Better living Paranaque
-Fortunata Village Paranaque
For the appointment of viewing,
Contact Jonel Rebadomia your SalesPerson
For this Property under by ML Inot Realty
Prc rebl. No. 4102",https://www.lamudi.com.ph/newly-built-single-2-storey-house-in-better-living-166019610766.html,"₱16,800,000",buy,3,,250,120,14.482705,121.024909,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An--pW2oENT4NdxtKmn5S0LBRZoL2gkGVVhzs3OTgijUbzY7JbfeDzxhz5oWOtjt07jztm_9ZIH5AvpHvfN7thlw7Q2GbLFBJwddQBCFjC9vD2h8pl8mdwzR4dUq5p6VZt6omkp7xLBB4mTVcgEMsw?stp=s2048x1152&ccb=10-5&oh=00_AfBSfksGIpHh_8xYkXtZUWgqH0NDeRQB6aELku2fQWBeEg&oe=660E214C&_nc_sid=201bca,"(121.028131, 14.48584)",0.49088246,2.88
"For Sale: Bright & Spacious Brand New 2 Storey House in BF Homes, Parañaque City","B.F. Homes, Parañaque","FOR SALE: Bright and spacious brand new 2-storey house and lot located in BF Homes, Parañaque City

About the Property:
Located at BF Homes, Parañaque City (no flood)
228 sqm lot area
350 sqm floor area
3-car garage
4-bedrooms
4-toilet & bath
Powder Room
Family Room
Balcony
Main kitchen with walk-in pantry
Miscellaneous kitchen
Pocket Gardens
Storage room
Shoe cabinets
Separate staff's quarter with toilet & bath
Laundry area
Water tank

Landmarks:
Puregold Sucat, S&R, Parañaque City Hall
*close proximity to major thoroughfares and commercial establishments
*not prone to flood
*not situated near the West Valley Fault Line per Philvolcs Fault Finder
*RFO end of August 2023

Price: Php 28,000,000

John F.S. Garcia

House Property for Sale in BF Homes, Parañaque, Metro Manila",https://www.lamudi.com.ph/for-sale-bright-spacious-brand-new-2-storey-house-169950167148.html,"₱28,000,000",buy,4,,350,228,14.4521766,121.0245799,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An8MDLMrNNK-hAtAwg8iingcBuA6Q-PGAr9DO1iU3GaerZgb8xnhaoom_VaUchKTrqVAP50MsAk1zjLjteE2cQiDJgDz7HbZy87Pa1uPlk254-4qxD2qCzgq_10-gHJbkiVRjNc0FEH4sQbsIhfeZd8?stp=s2048x1536&ccb=10-5&oh=00_AfD6O_PXI4co1coPFuJIBCD6qlKlFYIs8zqY9d_3ilJfzw&oe=660E389B&_nc_sid=201bca,"(121.026287, 14.448605)",0.435936571,2.88
"5BR Tri Level Modern House and Lot For Sale in BF Homes, Parañaque City","B.F. Homes, Parañaque","Notable Tri Level Modern House and Lot For Sale in BF Homes, Paranaque City   Size: LA 204 sqm; FA 270 sq m Parking: 3 carport Php: 33,400,000.00  Property Details: Tri Level 5 Bedrooms  5 Toilet and Bath  Powder Room Living Area  Dining Area  Kitchen Area Covered Lanai Dirty Kitchen  Laundry Area Maid's room and Driver's Room with Common Toilet and Bath 3-Car Carport  Inclusions: Inverter side by side Refrigerator Electric Hob Built in Oven and Microwave Oven Rangehood Gas Hob and Upright Freezer Washing Machine and Electric Dryer Internet wifi Ready CCTV Equipped 7 Units Split Type Inverter Aircon Tiled Walkway  Cash | Bank Financing We offer bank financing assistance. 8Keystones PH | A.P.M. I A+ Haven Marketing Associate REBL: 0015298",https://www.lamudi.com.ph/5br-tri-level-modern-house-and-lot-for-sale-in-bf-170049465439.html,"₱33,400,000",buy,5,,270,204,14.4521766,121.0245799,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An8MDLMrNNK-hAtAwg8iingcBuA6Q-PGAr9DO1iU3GaerZgb8xnhaoom_VaUchKTrqVAP50MsAk1zjLjteE2cQiDJgDz7HbZy87Pa1uPlk254-4qxD2qCzgq_10-gHJbkiVRjNc0FEH4sQbsIhfeZd8?stp=s2048x1536&ccb=10-5&oh=00_AfD6O_PXI4co1coPFuJIBCD6qlKlFYIs8zqY9d_3ilJfzw&oe=660E389B&_nc_sid=201bca,"(121.026287, 14.448605)",0.435936571,2.91
"For Sale 2 Bedroom 100sqm in Oak Harbor Residences, Parañaque City","Don Galo, Parañaque","Oak Harbor Residences
Jackson Ave. Asiaworld City, Brgy Don Galo, Paranaque City

Near OKADA, SOLAIRE, MOA, PGCOR CITY

Ready for Occupancy

2 bedroom 100sqm
22,988,000

Few units left

Flexible payment terms

Pets allowed
Lumiventt Technology
Atrium Garden
Single loaded Hallways
Bay area",https://www.lamudi.com.ph/for-sale-2-bedroom-100sqm-in-oak-harbor-residences-170513508430.html,"₱22,988,000",buy,2,3,100,,14.509206,120.985714,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An9nvHlNLIs7ScYrfsZu85cXQywDAVQOf6-iq7P-Ehg6eBuKGlCLD2ma5v1qkiwo5wBPLJezr7ms5xNmS03LPSWL5Jv6n26lnJ1pr9PClT97Ll5iyEzeNNf1fizkKv8_rW2W28h20uNpKn2aBtz-vQ?stp=s2048x1536&ccb=10-5&oh=00_AfC0cV_lcx71y_4vvfPEnTRuAJ5gjMV4KA2kwWQZ7tKsaQ&oe=660E047E&_nc_sid=201bca,"(120.984797, 14.507326)",0.230301765,2.83
"Sun Valley, Parañaque City, Foreclosed Residential Condominium - 10001000012325","Sun Valley, Parañaque","Property No.: 10001000012325
Location: Unit 430, 4th Floor, ARIA A Building, Amaia Steps Bicutan Phase 1, West Service Road, Brgy. Sun Valley, Parañaque City,Metro Manila

Lot Area: none
Floor Area: 33.44 sqm

TCT No.: 010-2017009607
Classification: Residential - Condominium
Property Status: The property was abandoned but padlocked by the former owner.

Indicative Price: Php 3,140,000.00



*SALE IS ON AN “AS IS, WHERE IS” BASIS
*PROPERTIES AND PRICES ARE SUBJECT TO CHANGE WITHOUT PRIOR NOTICE",https://www.lamudi.com.ph/sun-valley-para-aque-city-foreclosed-residential-c-170166535950.html,"₱3,140,000",buy,1,1,33,,14.491803,121.038006,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An82ukNz7c8vDb-oj2FslX3S9jzcWJTC5iOlmNsCK06mHtXHVF54trRZ3b_AAj9eaNAowo-RHRXFbZiMbFpAIsX22hY7vVxQ4pZ0dhcfbxtd-AGpyRjNk5TP0OEtQRw_77Aztz4V-qcXPIvp8cNwKCo?stp=s2048x1536&ccb=10-5&oh=00_AfA33FRj_7Cj11DfxkvOZ8FxHh4iOwePAI3ta2fEE-CVaQ&oe=660E34B3&_nc_sid=201bca,"(121.037984, 14.491887)",0.009591897,3.33
"Stunning Ultramodern House For Sale in Multinational Village, Parañaque City","Moonwalk, Parañaque","Stunning Ultramodern House and Lot for Sale in Multinational Village, Paranaque City  Selling Price: 150,000,000.00  Lot Area: 450 sqm Floor Area: 800 sqm approx  HOUSE FEATURES:  6 Big Bedrooms Walk in Closets 6 Ensuite Toilet and Bath Great Hall Modern Design Show Kitchen Viro Casa Kitchen Cabinets Spacious Viro Casa Gourmets Kitchen All vanities and modular cabinets from Viro Casa Pantry Room Playroom Family Area Home Office Spacious Home Gym Driver’s Room with Toilet and Bath Maid’s Room with Toilet and Bath 2 Stock Rooms Staff Lounge Area Covered Lanai Covered Alfresco bar with open kitchen Lap Pool Shower Room Elevated airconditioned powder room with view of the pool Grand Stair case Italian Tiled – All tiles are imported, no locally sourced tiles All Sanitary and shower fixtures and faucets are from Germany WIFI data on all rooms 17 AC units 16 CCTV Camera 10kw Solar panel net metering system All imported Beautiful Chandeliers Whole House Water Purifier & Softener system by Aqua Safe water Purifier, no need to buy mineral water Complete Smeg Kitchen Appliances Ground Floor with 7.5 meters Ceiling Height (Triple Ceiling Height) Water Features at the entrance Huge 3 Meters high main door – pivot 4 Car Garage Alexa capable ( Smart Home)  ITEMS NOT INCLUDED:  Dining Table Living room Center table 1 85” TV 3 pcs. Art Work Delonghi Coffee Maker   Terms: Cash / Bank Loan",https://www.lamudi.com.ph/stunning-ultramodern-house-for-sale-in-multination-169504355762.html,"₱150,000,000",buy,6,,800,450,14.492371,121.008496,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An-35Tn9oBsWD0-baMtrS389zsYNQmHV5_5pSq30dcJjvyUL51V5pCaDTAmj1gfeF2FvmDkUBplVjch5-9beHrYs6vUcaqKHsSnzofUxW8r50TzxqeGIo__JfmqTZVAQNzyWJNAB-1cmDU486avjtg?stp=s2048x1152&ccb=10-5&oh=00_AfBs1e7Nu-PHFMUDCmP8azsck0z67Miv1Lgt2gFB03aXQQ&oe=660E0DFC&_nc_sid=201bca,"(121.014659, 14.492893)",0.666876442,4.0
Office Warehouse Building For Sale with Income in San Dionisio Parañaque.,"San Antonio, Parañaque","GOOD LOCATION.  COMMERCIAL PROPERTY FOR SALE IN SAN DIONISIO PARANAQUE

PROPERTY DETAILS: 
- 3 Story Building
- Lot Area: 2,800 sqm
- Floor Area: 11,000sqm(more or less)
- With Elevator
- All Office Furnitures are Included
- With Solar Power System
- Generator
- Parking Slots
- Loading & Unloading Area
- Zero Leaks & Floods
- Clean Title
- Selling Price: P800,000,000 (Price may change w/o prior notice)
- For more details, viewing & reservation, please contact us.
- REB PRC License No.3377",https://www.lamudi.com.ph/office-warehouse-building-for-sale-with-income-in-170832128044.html,"₱800,000,000",buy,,,11000,,14.467199,121.024909,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An8m5Xp60r-dX17pjbn1H-JQXzFnnsMNcCnCXXyovebAlYZqy0ZYKdm1u9Cr19yMeESaMbnAqhTcFgAI040ZXQdRt9iJdUV8dylQgwRgF2hcgDUvCpTVtFV6mC0qFvc39NcQN813x1eDfkNeA67w5Ag?stp=s2048x1152&ccb=10-5&oh=00_AfD30CoVlV9a4spONHvFNY5fpOG4kIU7yHWB9byocVqQEw&oe=660E3A58&_nc_sid=201bca,"(121.021121, 14.468503)",0.433128109,2.83
"Bicutan Warehouse For Sale Good For Warehousing Business, Parañaque City","Sun Valley, Parañaque","BEST BUY! 12,832 SQM WAREHOUSE FOR SALE in BICUTAN PARANAQUE. GOOD FOR WAREHOUSING BUSINESS! GOOD FOR INVESTMENT.

PROPERTY DETAILS:
- Industrial Lot With Improvement
- Lot Area: 12,832 sq.m
- Floor Area: 8,746 sq.m
- With 4 Story Office/Commercial Building
- Warehouse with office 
- Offices 
- Storage Building
- Staff's Quarter
- Fabrication Shop
- Residential Building
- Guard House
- Good Location
- Accessible via SLEX
- Selling Price: P700,000,000(Price may change without prior notice)
- Can Avail thru CASH or Bank Financing
- REB PRC License No.3377",https://www.lamudi.com.ph/bicutan-warehouse-for-sale-good-for-warehousing-bu-165873311872.html,"₱700,000,000",buy,,,8746,,14.491803,121.038006,https://scontent.fmnl17-4.fna.fbcdn.net/m1/v/t6/An82ukNz7c8vDb-oj2FslX3S9jzcWJTC5iOlmNsCK06mHtXHVF54trRZ3b_AAj9eaNAowo-RHRXFbZiMbFpAIsX22hY7vVxQ4pZ0dhcfbxtd-AGpyRjNk5TP0OEtQRw_77Aztz4V-qcXPIvp8cNwKCo?stp=s2048x1536&ccb=10-5&oh=00_AfA33FRj_7Cj11DfxkvOZ8FxHh4iOwePAI3ta2fEE-CVaQ&oe=660E34B3&_nc_sid=201bca,"(121.037984, 14.491887)",0.009591897,4.17
